Time (sec), Heater 1 (%), Temperature 1 (degC)
5.625803439617156982e+02,5.000000000000000000e+01,9.695000000000000284e+01
5.635731976032257080e+02,5.000000000000000000e+01,9.695000000000000284e+01
5.645712838172912598e+02,5.000000000000000000e+01,9.718000000000000682e+01
5.655651140213012695e+02,5.000000000000000000e+01,9.728000000000000114e+01
5.665627322196960449e+02,5.000000000000000000e+01,9.750000000000000000e+01
5.675549786090850830e+02,5.000000000000000000e+01,9.757999999999999829e+01
5.685498402118682861e+02,5.000000000000000000e+01,9.759999999999999432e+01
5.695478327274322510e+02,5.000000000000000000e+01,9.773000000000000398e+01
5.705391702651977539e+02,5.000000000000000000e+01,9.785999999999999943e+01
5.715362310409545898e+02,5.000000000000000000e+01,9.792000000000000171e+01
5.725321009159088135e+02,5.000000000000000000e+01,9.792000000000000171e+01
5.735304090976715088e+02,5.000000000000000000e+01,9.792000000000000171e+01
5.745245280265808105e+02,5.000000000000000000e+01,9.793999999999999773e+01
5.755222845077514648e+02,5.000000000000000000e+01,9.793999999999999773e+01
5.765179002285003662e+02,5.000000000000000000e+01,9.792000000000000171e+01
5.775128312110900879e+02,5.000000000000000000e+01,9.792000000000000171e+01
5.785086760520935059e+02,5.000000000000000000e+01,9.792000000000000171e+01
5.795026993751525879e+02,5.000000000000000000e+01,9.792000000000000171e+01
5.804966166019439697e+02,5.000000000000000000e+01,9.792000000000000171e+01
5.814899759292602539e+02,5.000000000000000000e+01,9.792000000000000171e+01
5.824846112728118896e+02,5.000000000000000000e+01,9.792000000000000171e+01
5.834755101203918457e+02,5.000000000000000000e+01,9.793999999999999773e+01
5.844747335910797119e+02,5.000000000000000000e+01,9.823999999999999488e+01
5.854701764583587646e+02,5.000000000000000000e+01,9.823999999999999488e+01
5.864666326045989990e+02,5.000000000000000000e+01,9.826999999999999602e+01
5.874635064601898193e+02,5.000000000000000000e+01,9.826999999999999602e+01
5.884595601558685303e+02,5.000000000000000000e+01,9.823999999999999488e+01
5.894542493820190430e+02,5.000000000000000000e+01,9.823999999999999488e+01
5.904443907737731934e+02,5.000000000000000000e+01,9.823999999999999488e+01
5.914384617805480957e+02,5.000000000000000000e+01,9.823000000000000398e+01
5.924322471618652344e+02,5.000000000000000000e+01,9.792000000000000171e+01
5.934306335449218750e+02,5.000000000000000000e+01,9.781999999999999318e+01
5.944245276451110840e+02,5.000000000000000000e+01,9.760999999999999943e+01
5.954301886558532715e+02,5.000000000000000000e+01,9.759999999999999432e+01
5.964236917495727539e+02,5.000000000000000000e+01,9.759999999999999432e+01
5.974192020893096924e+02,5.000000000000000000e+01,9.759999999999999432e+01
5.984168398380279541e+02,5.000000000000000000e+01,9.759999999999999432e+01
5.994107480049133301e+02,5.000000000000000000e+01,9.768999999999999773e+01
6.004097180366516113e+02,5.000000000000000000e+01,9.784000000000000341e+01
6.014071507453918457e+02,5.000000000000000000e+01,9.792000000000000171e+01
6.024012646675109863e+02,5.000000000000000000e+01,9.804999999999999716e+01
6.033972101211547852e+02,5.000000000000000000e+01,9.823999999999999488e+01
6.043915648460388184e+02,5.000000000000000000e+01,9.823999999999999488e+01
6.053865988254547119e+02,5.000000000000000000e+01,9.823999999999999488e+01
6.063845622539520264e+02,5.000000000000000000e+01,9.823999999999999488e+01
6.073801007270812988e+02,5.000000000000000000e+01,9.818000000000000682e+01
6.083745100498199463e+02,5.000000000000000000e+01,9.796999999999999886e+01
